Species,Estimated population,Fraction Population in PA1,Fraction Population in PA2,Fraction Population lost 2013,Fraction Population lost 2050 BAU,Fraction Population lost 2050 IGS,Fraction Population lost PA 2013,Fraction Population lost PA 2050 BAU,Fraction Population lost PA 2050 IGS,IUCN2013,IUCN2050BAU,IUCN2050IGS,,,,,last modified 02/07/2015
Eschweilera coriacea,4433930655,0.063,0.425,0.140,0.438,0.247,0.008,0.148,0.047,,VU,,,,,,
Euterpe precatoria,3582164332,0.099,0.397,0.092,0.341,0.189,0.001,0.094,0.032,,VU,,,,,,
Pseudolmedia laevis,2828153743,0.106,0.323,0.126,0.386,0.223,0.002,0.090,0.029,,VU,,,,,,
Iriartea deltoidea,2739876604,0.133,0.345,0.089,0.308,0.191,0.001,0.066,0.029,,VU,,,,,,
Protium altissimum,2627746281,0.065,0.345,0.260,0.597,0.341,0.004,0.146,0.027,,EN,VU,,,,,
Oenocarpus bataua,2525836745,0.103,0.375,0.088,0.347,0.192,0.001,0.098,0.037,,VU,,,,,,
Astrocaryum murumuru,2353521053,0.122,0.378,0.112,0.390,0.208,0.003,0.133,0.036,,VU,,,,,,
Euterpe oleracea,2138297823,0.042,0.300,0.285,0.718,0.375,0.008,0.169,0.031,,EN,VU,,,,,
Socratea exorrhiza,1780636722,0.099,0.326,0.161,0.411,0.234,0.002,0.086,0.026,,VU,,,,,,
Mauritia flexuosa,1579506540,0.131,0.366,0.111,0.279,0.180,0.005,0.069,0.037,,,,,,,,
Hevea brasiliensis,1573859779,0.077,0.438,0.094,0.385,0.175,0.002,0.134,0.027,,VU,,,,,,
Pentaclethra macroloba,1447650074,0.077,0.432,0.072,0.411,0.160,0.002,0.186,0.023,,VU,,,,,,
Trattinnickia burserifolia,1440824942,0.031281441,0.258955297,0.282893434,0.73474326,0.344882781,0.000436321,0.117326139,0.016611742,,EN,VU,,,,,
Brosimum lactescens,1406331377,0.074,0.376,0.125,0.383,0.211,0.002,0.101,0.028,,VU,,,,,,
Virola surinamensis,1399195735,0.070848084,0.404231567,0.079775141,0.420474432,0.189200406,0.002025138,0.153072115,0.033470983,,VU,,,,,,
Eperua falcata,1381998345,0.105,0.167,0.025,0.158,0.099,0.001,0.043,0.018,,,,,,,,
Eperua leucantha,1306799102,0.132,0.585,0.019,0.175,0.078,0.001,0.075,0.031,,,,,,,,
Ruizterania retusa,1267658220,0.082,0.442,0.135,0.518,0.261,0.001,0.193,0.043,,EN,,,,,,
Licania heteromorpha,1255482072,0.084,0.437,0.057,0.355,0.176,0.002,0.138,0.042,,VU,,,,,,
Protium apiculatum,1250078607,0.056,0.452,0.170,0.588,0.293,0.004,0.232,0.052,,EN,,,,,,
Protium heptaphyllum,1187198431,0.043,0.282,0.245,0.621,0.303,0.001,0.103,0.017,,EN,VU,,,,,
Helicostylis tomentosa,1186191998,0.061,0.379,0.171,0.549,0.288,0.002,0.163,0.041,,EN,,,,,,
Iryanthera juruensis,1170884542,0.053,0.426,0.078,0.401,0.201,0.001,0.146,0.040,,VU,,,,,,
Attalea speciosa,1148905664,0.071,0.413,0.166,0.623,0.311,0.003,0.225,0.058,,EN,VU,,,,,
Gustavia augusta,1103443539,0.083,0.423,0.085,0.353,0.163,0.003,0.142,0.027,,VU,,,,,,
Micrandra sprucei,1090410508,0.108,0.622,0.032,0.232,0.127,0.002,0.123,0.060,,,,,,,,
Micropholis guyanensis,1081834725,0.088,0.446,0.094,0.345,0.186,0.004,0.123,0.039,,VU,,,,,,
Virola calophylla,1008347139,0.088274162,0.436603054,0.039189285,0.221059964,0.116919898,0.000688194,0.079912973,0.030160521,,,,,,,,
Theobroma subincanum,986251238,0.067,0.385,0.174,0.461,0.264,0.007,0.132,0.034,,VU,,,,,,
Protium hebetatum,962519059,0.049,0.552,0.049,0.532,0.221,0.001,0.269,0.075,,EN,,,,,,
Theobroma cacao,948514875,0.093,0.347,0.182,0.501,0.281,0.001,0.106,0.029,,EN,,,,,,
Rinorea guianensis,947191231,0.057,0.509,0.094,0.541,0.250,0.002,0.242,0.074,,EN,,,,,,
Pachira brevipes,926088747,0.082,0.461,0.039,0.106,0.074,0.001,0.037,0.029,,,,,,,,
Clathrotropis macrocarpa,921290073,0.160,0.484,0.021,0.116,0.059,0.001,0.044,0.022,,,,,,,,
Hevea guianensis,908710947,0.097,0.479,0.047,0.278,0.146,0.002,0.112,0.046,,,,,,,,
Licania apetala,896218467,0.069,0.378,0.140,0.393,0.216,0.004,0.089,0.027,,VU,,,,,,
Licania micrantha,888420703,0.089,0.434,0.040,0.356,0.149,0.000,0.146,0.038,,VU,,,,,,
Oenocarpus bacaba,886508390,0.101,0.465,0.038,0.359,0.172,0.001,0.161,0.055,,VU,,,,,,
Metrodorea flavida,865582572,0.050,0.376,0.322,0.611,0.370,0.005,0.134,0.023,VU,EN,VU,,,,,
Minquartia guianensis,859695564,0.080,0.456,0.095,0.440,0.211,0.002,0.181,0.050,,VU,,,,,,
Pouteria guianensis,845712571,0.080,0.485,0.060,0.437,0.177,0.002,0.217,0.052,,VU,,,,,,
Aspidosperma excelsum,837988106,0.077,0.334,0.046,0.183,0.113,0.001,0.054,0.023,,,,,,,,
Goupia glabra,836672436,0.075,0.424,0.112,0.466,0.231,0.004,0.177,0.051,,VU,,,,,,
Eschweilera albiflora,822785451,0.059,0.409,0.032,0.226,0.095,0.001,0.066,0.023,,,,,,,,
Leonia glycycarpa,811081877,0.096,0.392,0.092,0.355,0.192,0.002,0.107,0.033,,VU,,,,,,
Theobroma speciosum,807773480,0.040,0.416,0.300,0.646,0.357,0.006,0.185,0.030,VU,EN,VU,,,,,
Brosimum guianense,802950205,0.091,0.448,0.102,0.399,0.198,0.003,0.150,0.041,,VU,,,,,,
Dialium guianense,802871320,0.063,0.450,0.158,0.527,0.252,0.003,0.193,0.038,,EN,,,,,,
Tapirira guianensis,802281597,0.075,0.400,0.110,0.389,0.204,0.003,0.131,0.036,,VU,,,,,,
Pseudolmedia laevigata,795154452,0.083,0.365,0.142,0.389,0.233,0.002,0.092,0.033,,VU,,,,,,
Guarea kunthiana,776002617,0.062,0.364,0.278,0.522,0.338,0.005,0.110,0.028,,EN,VU,,,,,
Attalea butyracea,773970384,0.104,0.369,0.091,0.380,0.221,0.001,0.100,0.034,,VU,,,,,,
Virola elongata,761949403.4,0.114473644,0.45295432,0.052051743,0.223464325,0.132525058,0.001896302,0.068721975,0.033698234,,,,,,,,
Carapa guianensis,754528159,0.078,0.398,0.139,0.483,0.246,0.006,0.176,0.035,,VU,,,,,,
Pterocarpus rohrii,749135065,0.063,0.423,0.057,0.350,0.154,0.001,0.146,0.033,,VU,,,,,,
Symphonia globulifera,739278509,0.071,0.360,0.172,0.435,0.261,0.008,0.118,0.036,,VU,,,,,,
Brosimum rubescens,728165461,0.072,0.454,0.066,0.395,0.184,0.001,0.157,0.048,,VU,,,,,,
Inga alba,727305693,0.076,0.401,0.165,0.500,0.272,0.005,0.166,0.043,,VU,,,,,,
Attalea phalerata,717695659,0.126,0.348,0.114,0.367,0.214,0.002,0.117,0.042,,VU,,,,,,
Protium ex-tetragastrispanamensis,700624900,0.062,0.390,0.168,0.497,0.272,0.004,0.156,0.042,,VU,,,,,,
Ecclinusa guianensis,688571550,0.066,0.466,0.049,0.373,0.174,0.001,0.165,0.050,,VU,,,,,,
Protium sagotianum,681041879,0.099,0.437,0.138,0.461,0.210,0.002,0.187,0.032,,VU,,,,,,
Mabea speciosa,680044652,0.059,0.457,0.112,0.547,0.258,0.003,0.238,0.062,,EN,,,,,,
Eschweilera wachenheimii,676897430,0.041,0.444,0.031,0.442,0.194,0.000,0.199,0.063,,VU,,,,,,
Virola pavonis,673516407.5,0.099203493,0.454160121,0.043828482,0.175552893,0.106426099,0.001208197,0.05975898,0.031695926,,,,,,,,
Eschweilera grandiflora,673043783,0.045,0.397,0.177,0.539,0.292,0.010,0.192,0.054,,EN,,,,,,
Jacaranda copaia,670463239,0.081,0.331,0.179,0.476,0.278,0.004,0.118,0.034,,VU,,,,,,
Rinorea racemosa,663255472,0.042,0.572,0.086,0.501,0.227,0.002,0.250,0.081,,EN,,,,,,
Attalea maripa,662223511,0.068,0.397,0.154,0.528,0.233,0.001,0.170,0.027,,EN,,,,,,
Pourouma minor,648644503,0.118,0.364,0.100,0.329,0.197,0.003,0.085,0.029,,VU,,,,,,
Pouteria caimito,640932812,0.054,0.452,0.112,0.519,0.246,0.003,0.207,0.048,,EN,,,,,,
Chrysophyllum sanguinolentum,640263436,0.079,0.427,0.039,0.298,0.152,0.001,0.114,0.045,,,,,,,,
Micrandra spruceana,634259207,0.130,0.566,0.023,0.147,0.078,0.001,0.066,0.031,,,,,,,,
Amphiodon effusus,613314045,0.015,0.355,0.420,0.751,0.472,0.008,0.174,0.034,VU,EN,VU,,,,,
Eschweilera bracteosa,610435269,0.073,0.443,0.036,0.326,0.179,0.001,0.104,0.041,,VU,,,,,,
Cecropia sciadophylla,602703635,0.076,0.377,0.134,0.431,0.248,0.004,0.134,0.043,,VU,,,,,,
Virola michelii,602536289.7,0.06400105,0.378870153,0.205159457,0.581511412,0.312787796,0.005454092,0.19531806,0.043107704,,EN,VU,,,,,
Oxandra polyantha,585458038,0.112,0.502,0.020,0.121,0.069,0.000,0.038,0.024,,,,,,,,
Lecythis idatimon,583293611,0.072,0.199,0.403,0.682,0.506,0.028,0.118,0.047,VU,EN,EN,,,,,
Eschweilera tessmannii,580536305,0.071,0.493,0.039,0.368,0.154,0.001,0.171,0.044,,VU,,,,,,
Sacoglottis guianensis,574887303,0.067,0.393,0.150,0.515,0.262,0.002,0.156,0.039,,EN,,,,,,
Sagotia brachysepala,564012622,0.016,0.201,0.582,0.804,0.647,0.015,0.087,0.041,EN,CR,EN,,,,,
Pseudolmedia macrophylla,563914665,0.054,0.366,0.224,0.516,0.304,0.003,0.099,0.026,,EN,VU,,,,,
Otoba parvifolia,559478307,0.144,0.429,0.031,0.173,0.097,0.001,0.048,0.024,,,,,,,,
Eschweilera atropetiolata,559308640,0.069,0.465,0.044,0.415,0.184,0.001,0.186,0.053,,VU,,,,,,
Amaioua guianensis,550363402,0.035,0.286,0.306,0.615,0.366,0.005,0.068,0.016,VU,EN,VU,,,,,
Iryanthera laevis,547332412,0.089,0.410,0.110,0.368,0.194,0.003,0.127,0.034,,VU,,,,,,
Conceveiba guianensis,537666027,0.078,0.426,0.069,0.350,0.179,0.002,0.131,0.041,,VU,,,,,,
Cheiloclinium cognatum,535526237,0.064,0.363,0.252,0.545,0.309,0.002,0.095,0.016,,EN,VU,,,,,
Pouteria elegans,531574474,0.068,0.408,0.036,0.306,0.140,0.001,0.108,0.032,,VU,,,,,,
Maquira coriacea,527915372,0.101,0.349,0.083,0.348,0.167,0.001,0.108,0.032,,VU,,,,,,
Pourouma guianensis,523947325,0.083,0.371,0.199,0.475,0.292,0.006,0.123,0.037,,VU,,,,,,
Monopteryx uaucu,521511162,0.111,0.578,0.025,0.200,0.116,0.001,0.074,0.040,,,,,,,,
Lecythis corrugata,521077487,0.103,0.276,0.034,0.194,0.104,0.001,0.065,0.017,,,,,,,,
Rinoreocarpus ulei,519967234,0.071,0.277,0.255,0.580,0.340,0.001,0.097,0.021,,EN,VU,,,,,
Qualea paraensis,516031125,0.094,0.419,0.100,0.384,0.203,0.002,0.146,0.044,,VU,,,,,,
Iryanthera ulei,510641009,0.103,0.482,0.046,0.212,0.112,0.001,0.080,0.030,,,,,,,,
Eschweilera parvifolia,503022425,0.113,0.427,0.077,0.194,0.130,0.003,0.042,0.025,,,,,,,,
Protium tenuifolium,493736437,0.083,0.423,0.205,0.539,0.277,0.004,0.194,0.037,,EN,,,,,,
Calophyllum brasiliense,490511222,0.091,0.370,0.152,0.394,0.226,0.004,0.086,0.031,,VU,,,,,,
Gustavia hexapetala,488278979,0.114,0.372,0.087,0.442,0.185,0.001,0.182,0.029,,VU,,,,,,
Mezilaurus itauba,486402698,0.082,0.444,0.130,0.464,0.234,0.002,0.157,0.042,,VU,,,,,,
Eschweilera sagotiana,486275905,0.059,0.214,0.027,0.152,0.104,0.001,0.043,0.022,,,,,,,,
Cenostigma tocantinum,485856970,0.044,0.402,0.347,0.790,0.406,0.010,0.258,0.033,VU,EN,VU,,,,,
Catostemma fragrans,481715201,0.059,0.168,0.030,0.159,0.125,0.001,0.036,0.026,,,,,,,,
Eschweilera parviflora,480332019,0.108,0.455,0.030,0.187,0.101,0.002,0.083,0.036,,,,,,,,
Pseudobombax munguba,477049889,0.064,0.365,0.035,0.351,0.155,0.001,0.114,0.035,,VU,,,,,,
Licania octandra,474880556,0.066,0.499,0.077,0.452,0.189,0.002,0.209,0.051,,VU,,,,,,
Luehea cymulosa,473101168,0.100,0.318,0.050,0.322,0.171,0.001,0.087,0.039,,VU,,,,,,
